Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
30.90,43.50,57.06,759.31,23.86,20.13,32.05,75.60,86.82,40.30,-0.00,0.00,68.28,-0.00,0.00,773.89
29.85,47.50,43.12,481.00,22.83,19.33,31.50,75.62,93.56,42.08,0.00,15.99,46.40,0.00,98.12,525.58
28.46,52.75,6.25,35.94,21.59,20.69,27.57,81.55,84.82,56.70,-0.00,58.18,5.58,-0.00,533.07,32.73
27.21,60.62,0.00,0.00,21.18,22.83,26.69,86.43,76.07,63.65,-0.00,83.81,0.00,0.00,730.23,0.00
26.05,66.50,0.00,0.00,20.47,23.96,25.99,89.33,73.37,67.13,-0.00,106.60,-0.00,-0.00,755.46,-0.00
24.91,71.75,0.00,0.00,20.24,27.12,25.79,85.64,55.44,65.69,-0.00,154.61,0.00,0.00,854.46,0.00
23.81,75.88,0.00,0.00,19.91,28.46,24.49,88.28,50.10,70.03,0.00,184.31,-0.00,0.00,831.07,-0.00
22.71,76.38,0.00,0.00,19.54,30.04,23.36,92.15,45.35,73.98,16.24,203.83,0.00,99.68,841.64,0.00
21.86,79.75,0.00,0.00,20.78,30.80,22.65,84.29,42.65,76.90,58.56,189.29,-0.00,536.54,835.52,-0.00
21.10,87.00,0.00,0.00,22.75,30.94,21.17,76.47,43.41,82.31,83.38,149.90,-0.00,726.43,816.65,0.00
20.55,88.75,0.00,0.00,24.30,31.96,19.29,71.69,40.85,91.37,109.30,120.45,-0.00,774.57,859.74,0.00
20.09,86.75,0.00,0.00,26.78,31.73,19.57,56.85,42.38,88.64,151.05,86.55,-0.00,834.83,818.50,0.00
19.71,89.75,0.00,0.00,28.32,31.61,18.78,50.61,41.65,90.29,182.50,66.26,-0.00,822.91,751.07,-0.00
19.73,90.75,16.50,101.25,29.81,30.80,19.22,46.11,44.42,85.94,200.61,44.30,21.26,828.32,501.73,56.18
20.86,83.75,58.94,540.00,30.73,28.19,19.89,42.88,54.41,86.12,188.27,5.85,93.47,831.01,34.30,306.36
22.69,76.88,82.94,722.62,31.18,27.08,19.98,42.71,61.95,89.62,152.51,0.00,137.72,830.89,0.00,426.27
24.59,70.00,112.00,793.69,31.87,26.13,24.37,41.12,66.50,64.35,119.70,-0.00,199.71,854.34,-0.00,690.16
26.49,58.25,147.50,815.19,31.75,25.41,24.11,42.31,67.59,64.07,86.68,0.00,234.61,819.72,0.00,594.47
28.20,51.12,180.69,814.75,31.39,24.16,25.68,42.33,71.77,57.93,65.26,-0.00,301.22,739.66,-0.00,546.37
29.61,46.88,197.38,815.00,30.45,22.99,28.03,45.58,76.05,48.53,43.24,0.00,380.11,489.81,0.00,515.57
30.66,43.12,187.25,826.50,28.50,22.13,27.65,53.26,80.01,48.31,5.99,-0.00,332.59,35.09,-0.00,487.57
31.38,42.00,155.12,845.12,27.28,20.95,27.73,61.10,83.66,48.12,0.00,-0.00,292.85,0.00,0.00,477.49
31.79,41.38,118.94,848.94,26.19,19.70,28.55,66.19,88.81,46.67,-0.00,-0.00,276.61,-0.00,0.00,478.91
31.77,42.25,86.81,820.94,25.21,19.55,28.74,68.55,88.76,45.23,0.00,-0.00,248.06,0.00,0.00,378.72
31.20,43.00,64.25,728.25,23.99,18.95,28.06,72.63,89.20,46.33,-0.00,-0.00,163.18,-0.00,0.00,301.77
30.15,46.75,42.19,477.88,22.81,19.14,26.86,77.09,86.47,48.69,0.00,21.13,77.64,0.00,55.84,188.41
28.76,52.12,6.12,35.88,21.86,19.87,26.34,81.57,86.25,49.62,-0.00,93.33,8.51,-0.00,305.90,14.80
27.45,60.25,0.00,0.00,20.83,20.66,26.11,84.33,85.62,52.85,-0.00,145.20,0.00,0.00,449.45,0.00
26.25,65.88,0.00,0.00,19.91,23.67,25.07,87.53,67.93,58.95,-0.00,190.63,-0.00,-0.00,658.80,-0.00
25.05,69.50,0.00,0.00,19.54,24.41,24.57,88.82,62.73,59.51,-0.00,240.00,0.00,0.00,608.11,0.00
23.85,73.50,0.00,0.00,19.04,25.90,23.74,88.66,57.02,60.89,0.00,306.24,-0.00,0.00,555.47,-0.00
22.65,78.12,0.00,0.00,19.10,27.58,23.04,86.73,50.21,62.17,21.06,368.58,0.00,55.67,499.94,0.00
21.64,83.12,0.00,0.00,19.86,27.77,21.39,86.31,47.91,79.35,93.26,335.49,-0.00,305.67,491.82,-0.00
20.74,85.00,0.00,0.00,21.01,28.05,22.41,83.62,47.06,78.58,148.95,299.93,0.00,461.03,489.03,0.00
20.09,86.25,0.00,0.00,23.32,28.55,22.00,69.71,46.64,81.31,186.10,276.74,-0.00,643.12,479.15,-0.00
19.53,88.88,0.00,0.00,24.57,28.57,19.84,62.05,45.81,93.68,242.69,245.06,-0.00,614.93,374.14,0.00
19.11,88.12,0.00,0.00,26.01,27.93,20.41,56.57,46.79,86.21,308.74,161.62,0.00,560.01,298.88,-0.00
19.06,87.00,21.00,55.50,27.35,26.87,20.95,51.04,48.66,81.17,362.82,77.69,13.26,492.13,188.55,0.00
19.85,86.38,93.19,305.44,27.83,26.00,21.20,47.70,50.87,83.44,336.93,8.31,65.34,493.94,14.46,0.00
21.30,81.62,152.69,472.62,28.21,25.45,22.06,46.53,55.61,84.79,303.46,0.00,114.87,494.79,0.00,0.20
23.02,71.50,181.56,627.44,28.56,24.64,23.53,46.63,60.92,79.35,276.81,-0.00,180.16,479.26,-0.00,1.18
24.70,61.38,245.38,621.75,28.48,24.08,24.39,46.09,61.75,77.00,243.56,0.00,222.27,371.85,0.00,2.45
26.11,56.12,311.25,564.56,27.86,23.33,24.22,47.02,62.76,80.26,160.84,-0.00,198.81,297.44,-0.00,3.96
27.16,51.88,357.06,484.31,26.88,22.67,22.89,48.64,63.89,89.55,77.72,0.00,168.98,188.62,0.00,3.29
27.88,47.50,338.38,496.06,25.83,21.69,24.47,51.50,77.67,80.71,8.22,-0.00,170.71,14.29,-0.00,1.97
28.35,46.00,307.00,500.56,25.11,21.92,23.74,57.00,81.54,85.43,0.00,-0.00,154.15,0.00,0.00,0.84
28.56,46.62,276.88,479.38,24.42,21.61,23.53,61.90,83.66,86.31,-0.00,-0.00,141.53,-0.00,-0.00,0.06
28.41,46.38,242.06,369.56,23.83,20.47,23.79,62.88,89.84,84.50,0.00,0.00,102.83,0.00,0.00,0.00
27.80,47.25,160.06,296.00,23.13,20.27,24.27,63.69,87.04,81.24,-0.00,0.00,64.53,-0.00,-0.00,-0.00
26.88,48.62,77.75,188.69,22.49,20.33,24.66,64.76,85.08,77.06,0.00,12.73,27.24,0.00,0.00,0.00
25.69,52.12,8.12,14.12,21.85,20.77,21.92,76.84,86.22,92.58,-0.00,63.42,2.43,-0.00,0.00,-0.00
24.83,58.38,0.00,0.00,21.67,21.87,21.28,83.02,85.96,94.72,0.00,113.37,0.00,0.00,0.19,0.00
24.23,62.88,0.00,0.00,21.42,23.18,22.55,84.83,81.42,85.30,0.00,175.89,-0.00,-0.00,1.15,-0.00
23.62,64.00,0.00,0.00,20.78,23.97,22.91,87.92,79.50,81.16,0.00,215.88,0.00,0.00,2.38,0.00
22.96,64.62,0.00,0.00,20.21,24.07,22.72,87.46,81.13,80.20,0.00,196.75,-0.00,-0.00,3.92,-0.00
22.33,65.62,0.00,0.00,20.02,23.53,21.13,87.04,85.78,88.80,12.46,177.55,0.00,0.00,3.45,-0.00
21.98,76.00,0.00,0.00,20.55,24.36,21.57,87.61,81.35,81.16,62.46,169.38,-0.00,-0.00,1.96,0.00
21.46,84.50,0.00,0.00,21.78,24.03,18.80,86.54,83.72,92.75,112.63,157.51,-0.00,0.19,0.86,0.00
21.26,86.00,0.00,0.00,23.01,23.90,19.35,82.46,84.16,84.78,173.75,145.45,-0.00,1.13,0.06,0.00
21.05,86.00,0.00,0.00,23.75,24.00,18.26,80.75,83.25,88.69,212.69,104.44,-0.00,2.35,0.00,-0.00
20.15,87.88,0.00,0.00,23.99,24.20,18.18,81.57,81.62,87.86,195.72,64.24,-0.00,3.90,-0.00,0.00
19.76,89.00,12.19,0.00,23.85,24.24,18.80,83.89,79.53,83.75,181.83,26.46,27.21,3.54,0.00,52.78
20.36,89.00,61.50,0.00,24.31,22.42,18.29,81.68,89.48,89.36,168.72,2.53,106.17,1.95,-0.00,253.74
21.70,87.12,111.88,0.19,24.17,21.89,18.40,82.86,90.92,91.39,159.20,0.00,162.86,0.87,0.00,332.93
22.86,83.50,171.62,1.12,24.08,22.49,21.67,83.08,85.65,78.54,147.42,-0.00,237.56,0.06,-0.00,522.98
23.57,82.00,209.50,2.31,24.11,22.52,22.82,82.62,83.58,68.18,105.25,0.00,331.94,0.00,0.00,440.37
23.93,82.00,194.69,3.88,24.17,22.25,24.13,81.81,83.10,57.13,64.09,-0.00,354.16,-0.00,-0.00,489.19
24.13,82.00,186.12,3.62,24.03,21.36,23.36,80.77,87.40,60.88,26.08,0.00,359.03,0.00,-0.00,383.20
24.26,82.00,168.06,1.94,22.67,21.18,25.80,87.93,83.58,51.92,2.57,-0.00,381.85,-0.00,0.00,487.91
24.30,82.00,160.88,0.88,22.20,19.24,26.14,89.02,90.00,50.63,0.00,-0.00,377.59,0.00,-0.00,403.72
24.24,82.00,149.38,0.06,22.46,19.04,26.42,85.82,86.70,49.39,-0.00,-0.00,346.70,-0.00,-0.00,345.03
24.20,82.00,106.06,0.00,22.32,18.19,25.68,84.79,89.15,52.13,0.00,-0.00,284.22,0.00,0.00,214.86
24.14,82.00,63.94,0.00,22.01,17.87,24.85,84.55,89.87,54.21,-0.00,0.00,198.69,-0.00,0.00,150.26
23.85,82.00,25.69,0.00,21.47,18.11,23.49,86.70,88.37,59.15,0.00,25.98,90.33,-0.00,50.39,94.00
22.89,86.38,2.62,0.00,20.98,18.30,23.75,84.79,89.31,55.12,-0.00,106.24,9.75,-0.00,253.90,7.81
22.46,87.12,0.00,0.00,19.46,19.03,22.71,88.62,87.64,60.91,0.00,170.87,0.00,0.00,349.31,0.00
22.44,86.00,0.00,0.00,18.89,21.37,22.06,87.66,80.27,64.46,0.00,232.75,-0.00,0.00,512.39,-0.00
22.15,86.00,0.00,0.00,18.15,22.63,21.26,89.39,69.15,65.07,-0.00,327.47,0.00,0.00,434.43,0.00
21.81,86.00,0.00,0.00,17.72,23.88,19.59,90.88,58.19,69.22,0.00,348.05,-0.00,-0.00,480.75,-0.00
21.57,86.00,0.00,0.00,17.76,24.00,19.63,90.69,58.31,64.01,25.37,377.21,0.00,49.19,402.60,0.00
20.81,86.00,0.00,0.00,18.31,25.56,17.41,89.28,52.83,74.54,106.28,375.55,-0.00,253.98,479.86,-0.00
19.65,87.25,0.00,0.00,19.34,25.99,18.46,85.76,51.19,69.88,174.87,373.61,-0.00,357.50,399.45,-0.00
18.76,88.62,0.00,0.00,21.23,26.20,16.22,81.14,50.20,82.30,230.34,341.41,0.00,507.10,339.76,-0.00
18.12,89.62,0.00,0.00,22.53,25.75,15.40,69.63,51.88,86.85,325.24,285.64,-0.00,431.47,215.93,0.00
17.59,91.88,0.00,0.00,23.76,25.06,15.68,58.72,53.41,87.78,345.00,201.79,0.00,476.53,152.60,-0.00
17.46,93.00,24.75,48.00,24.32,23.95,15.30,57.03,57.33,91.81,386.29,93.51,23.76,412.30,97.31,75.42
18.31,89.25,106.31,254.06,25.44,23.52,18.44,53.29,56.06,75.71,372.40,9.60,117.10,475.84,7.68,399.38
19.61,83.88,178.88,365.69,25.91,22.52,19.47,51.47,61.77,72.10,371.61,0.00,222.05,397.32,0.00,256.24
21.10,82.00,227.94,501.81,26.09,21.71,20.36,50.60,66.17,65.18,338.76,-0.00,322.75,337.13,-0.00,195.04
22.45,70.12,323.00,428.50,25.78,20.80,21.93,51.75,67.35,58.89,286.35,0.00,386.80,216.46,0.00,311.66
23.65,59.25,341.94,472.31,25.17,19.51,23.52,53.02,69.61,52.81,203.33,-0.00,429.00,153.77,-0.00,367.96
24.60,55.75,395.38,422.00,24.18,19.04,23.02,56.41,67.01,54.36,95.10,0.00,423.64,98.97,0.00,261.83
25.34,53.75,369.25,471.81,23.41,17.61,23.91,56.53,73.52,51.26,9.52,-0.00,448.97,7.62,-0.00,181.16
25.85,51.75,369.62,395.19,22.42,17.85,24.72,62.19,73.19,50.13,0.00,-0.00,429.53,0.00,0.00,189.60
26.00,51.00,336.12,334.50,21.53,16.55,25.81,67.03,80.46,47.46,-0.00,-0.00,388.42,-0.00,0.00,290.90
25.81,51.62,287.06,217.00,20.58,15.98,25.79,68.48,83.55,50.13,0.00,-0.00,302.88,0.00,-0.00,190.70
25.26,52.62,204.88,154.94,19.47,15.99,23.71,69.80,85.95,60.16,-0.00,-0.00,169.84,-0.00,-0.00,43.53
24.38,55.50,96.69,100.62,18.74,15.83,24.36,68.50,88.59,55.98,0.00,24.72,92.83,0.00,78.49,52.78
23.31,57.00,9.44,7.56,17.71,17.96,23.17,73.01,78.48,59.00,-0.00,113.36,9.80,-0.00,386.63,4.20
22.34,62.62,0.00,0.00,17.55,19.23,20.83,74.85,73.36,73.20,0.00,218.43,0.00,0.00,252.06,0.00
21.38,67.88,0.00,0.00,16.71,20.24,21.92,79.54,65.78,69.74,-0.00,319.88,-0.00,-0.00,193.30,-0.00
20.38,69.62,0.00,0.00,16.26,21.61,20.21,81.90,60.32,80.46,-0.00,378.24,0.00,0.00,304.77,0.00
19.44,70.00,0.00,0.00,16.14,23.05,20.05,85.04,54.71,80.89,0.00,415.47,-0.00,-0.00,356.35,-0.00
18.48,70.00,0.00,0.00,16.09,23.32,19.60,86.99,53.24,81.28,25.21,433.13,0.00,80.02,267.69,0.00
17.79,72.50,0.00,0.00,17.72,24.04,18.54,79.86,50.82,84.40,111.49,452.95,-0.00,380.26,182.77,-0.00
17.29,76.50,0.00,0.00,19.11,24.57,20.60,73.99,50.69,70.72,216.62,424.95,0.00,249.97,187.58,0.00
16.85,78.62,0.00,0.00,20.17,25.20,18.22,66.08,49.73,84.91,318.44,372.84,0.00,192.43,279.23,-0.00
16.51,80.25,0.00,0.00,21.45,25.16,19.68,61.04,52.63,79.19,373.97,290.31,-0.00,301.33,182.79,-0.00
16.27,84.12,0.00,0.00,22.81,23.86,20.44,55.67,59.52,74.25,408.70,171.73,-0.00,350.55,44.02,-0.00
16.32,85.38,25.69,81.56,23.47,23.69,20.51,52.68,58.93,75.89,437.87,88.79,21.67,270.63,50.49,103.48
17.52,81.25,109.62,373.88,24.10,22.60,21.25,50.60,61.62,77.08,454.95,9.43,77.87,183.58,4.04,541.60
19.01,74.62,214.81,247.88,24.50,21.15,23.34,50.97,71.60,71.68,422.67,0.00,105.44,186.57,0.00,772.03
20.12,66.38,317.00,191.56,24.89,21.44,24.71,50.87,72.31,69.56,365.04,-0.00,143.37,273.40,-0.00,823.37
21.31,61.75,369.69,297.88,24.84,20.39,25.51,53.87,79.48,64.05,284.03,0.00,205.57,178.84,0.00,677.57
22.61,56.62,401.94,344.75,23.93,20.07,27.61,59.20,80.75,54.40,172.67,-0.00,295.14,44.26,-0.00,575.84
23.60,52.12,442.62,273.56,23.36,19.63,28.92,60.41,81.14,50.60,86.77,0.00,401.27,49.34,0.00,135.77
24.15,50.38,456.94,184.38,22.32,19.01,28.10,62.94,81.76,51.32,9.25,-0.00,341.31,3.96,-0.00,29.94
24.43,51.25,420.38,185.56,21.31,19.95,28.79,70.80,74.36,46.58,0.00,0.00,298.78,0.00,0.00,6.96
24.63,52.00,357.25,267.56,21.20,18.78,28.18,73.59,81.76,47.98,-0.00,0.00,265.62,-0.00,0.00,8.03
24.57,55.12,277.75,174.88,20.47,19.48,25.17,78.99,80.35,60.00,0.00,-0.00,189.45,0.00,0.00,9.80
24.00,58.88,173.62,44.50,20.08,19.85,26.00,80.69,77.68,56.15,-0.00,-0.00,172.12,-0.00,0.00,64.48
23.07,61.88,84.75,48.19,19.64,19.95,26.14,81.07,79.20,54.16,0.00,20.86,86.52,0.00,99.65,172.99
22.07,64.25,9.06,3.88,19.24,20.93,24.67,80.44,78.98,57.34,-0.00,76.13,7.95,-0.00,529.46,13.45
21.45,70.00,0.00,0.00,19.62,22.90,23.45,76.18,74.09,62.52,-0.00,102.32,0.00,0.00,749.14,0.00
20.99,74.88,0.00,0.00,19.06,24.61,23.90,80.19,70.09,57.35,0.00,142.31,-0.00,-0.00,817.28,-0.00
20.55,78.50,0.00,0.00,19.38,25.92,22.42,80.92,62.27,61.10,0.00,211.97,0.00,-0.00,698.69,0.00
20.09,80.62,0.00,0.00,19.55,27.73,19.94,79.40,53.95,72.73,-0.00,297.67,-0.00,0.00,580.76,-0.00
19.65,81.00,0.00,0.00,19.67,28.65,21.67,80.85,51.61,60.74,20.46,393.85,0.00,97.73,133.26,0.00
19.44,79.12,0.00,0.00,20.76,28.13,18.98,79.93,51.22,69.63,75.25,341.96,-0.00,523.38,30.00,-0.00
19.34,78.00,0.00,0.00,22.68,28.15,18.80,75.29,48.91,65.73,100.75,286.29,-0.00,737.69,6.67,0.00
19.30,78.62,0.00,0.00,24.56,27.56,17.20,70.35,50.30,70.01,141.78,254.87,-0.00,814.24,7.71,-0.00
19.30,81.50,0.00,0.00,26.12,25.82,15.85,61.39,57.44,76.87,215.18,199.19,0.00,709.25,10.31,-0.00
19.30,81.12,0.00,0.00,27.79,25.94,15.08,53.72,56.38,79.90,298.93,171.40,0.00,583.23,64.21,0.00
19.43,82.50,20.06,95.81,28.52,25.72,16.19,52.12,55.89,69.56,390.15,84.07,26.20,132.00,168.09,82.56
20.62,80.88,74.38,517.31,28.14,24.66,16.06,51.17,57.36,70.25,342.29,7.94,83.40,30.03,13.44,405.64
22.49,76.50,99.19,726.25,27.83,23.65,16.51,50.08,61.63,71.30,280.05,0.00,135.20,6.53,0.00,485.36
24.51,70.62,141.25,811.19,27.25,23.40,19.50,51.46,59.55,58.89,249.50,-0.00,203.49,7.54,-0.00,607.60
26.30,60.50,218.38,719.81,26.15,22.22,19.75,56.16,61.99,59.49,204.07,0.00,228.84,10.56,0.00,593.72
27.84,53.50,300.19,585.69,25.92,20.59,22.35,56.50,69.61,49.49,171.05,-0.00,324.27,64.07,-0.00,619.34
28.40,52.62,386.44,130.75,25.51,20.98,22.93,56.75,64.06,47.41,82.85,0.00,339.67,165.64,0.00,607.41
28.15,51.12,342.62,30.06,24.66,19.12,22.63,57.37,68.94,48.00,7.94,-0.00,306.82,13.44,-0.00,550.44
27.56,51.25,273.81,6.38,23.75,18.35,23.45,61.19,67.99,47.38,0.00,-0.00,271.34,0.00,0.00,588.62
26.99,52.62,244.12,7.38,23.15,17.05,23.50,60.65,70.82,49.97,-0.00,0.00,224.56,-0.00,-0.00,587.82
26.43,54.88,208.94,10.81,22.13,16.01,23.18,62.43,76.00,52.49,0.00,0.00,178.14,0.00,0.00,545.84
25.89,56.62,170.69,63.94,20.92,15.35,21.98,68.06,78.45,55.77,-0.00,0.00,119.19,-0.00,0.00,458.10
25.33,57.62,81.62,163.19,20.64,15.78,22.05,65.72,71.72,55.21,0.00,25.47,68.57,0.00,80.28,323.32
24.66,57.38,7.94,13.44,19.19,16.14,20.78,68.59,69.87,61.25,-0.00,83.86,8.74,-0.00,407.85,24.11
23.84,60.75,0.00,0.00,18.12,17.06,19.11,69.12,68.71,73.26,-0.00,140.94,0.00,0.00,505.99,0.00
22.94,61.75,0.00,0.00,16.97,19.23,21.03,71.22,60.07,66.51,-0.00,199.71,-0.00,0.00,596.33,-0.00
22.04,62.88,0.00,0.00,16.09,20.04,18.38,75.56,58.31,80.70,-0.00,233.79,0.00,0.00,606.58,0.00
21.20,66.50,0.00,0.00,15.48,21.91,17.59,77.73,51.19,84.44,0.00,314.51,-0.00,0.00,600.70,-0.00
20.34,67.38,0.00,0.00,15.58,22.69,17.42,72.80,48.27,87.34,25.11,333.96,0.00,79.14,597.21,0.00
19.25,68.25,0.00,0.00,16.18,22.91,18.79,69.69,47.06,77.55,84.08,313.35,-0.00,408.95,562.16,-0.00
17.93,70.25,0.00,0.00,17.33,23.52,18.45,67.42,47.13,80.13,143.82,272.79,-0.00,516.30,591.78,0.00
16.90,71.62,0.00,0.00,19.10,23.61,20.86,60.66,49.61,68.85,197.83,226.22,-0.00,590.70,592.16,-0.00
16.16,75.12,0.00,0.00,20.19,23.35,19.11,57.71,51.87,79.05,236.27,180.35,-0.00,613.01,552.61,0.00
15.59,77.00,0.00,0.00,21.68,22.49,19.22,52.03,53.88,78.94,309.63,123.85,0.00,591.38,475.99,0.00
15.40,73.88,24.75,78.00,22.56,22.06,20.57,48.69,55.17,77.56,331.10,68.63,17.76,592.10,323.60,0.00
16.21,69.50,84.31,410.06,23.06,20.84,20.14,46.59,61.00,86.90,316.61,8.77,77.67,568.02,24.21,0.73
17.57,66.12,146.69,526.62,23.56,19.65,22.41,47.00,70.63,78.51,273.52,0.00,172.41,593.36,0.00,3.58
18.98,61.25,195.94,585.06,23.66,20.37,21.98,49.43,70.01,86.73,227.05,-0.00,195.90,594.33,-0.00,4.48
20.31,57.12,238.75,619.44,23.44,18.85,23.91,51.56,78.16,80.93,181.46,0.00,265.81,555.99,0.00,12.66
21.49,52.88,304.75,582.06,22.74,18.25,24.17,52.94,80.84,81.94,126.17,-0.00,194.40,484.93,-0.00,3.81
22.46,49.12,328.25,587.00,22.06,17.95,24.26,55.14,84.23,83.24,68.66,0.00,295.22,323.74,0.00,9.28
23.18,46.12,319.88,573.88,20.87,18.70,25.02,60.88,78.09,84.07,8.79,-0.00,347.92,24.26,-0.00,19.80
23.59,46.88,274.25,594.94,19.92,18.83,26.11,69.32,78.07,79.42,0.00,-0.00,323.83,0.00,0.00,17.76
23.70,49.25,227.88,596.50,20.04,20.20,26.53,71.75,72.43,78.50,-0.00,0.00,314.01,-0.00,-0.00,18.43
23.51,51.25,182.56,559.38,19.09,19.52,26.28,76.89,76.90,80.94,0.00,0.00,234.80,0.00,0.00,9.66
22.96,52.00,128.50,493.88,18.57,19.69,26.15,79.05,76.47,82.35,-0.00,-0.00,144.61,-0.00,-0.00,2.22
22.07,55.12,68.69,323.88,18.22,20.44,24.29,82.67,78.28,90.55,0.00,17.60,46.08,0.00,-0.00,0.11
20.89,60.75,8.81,24.31,18.65,20.34,25.44,78.35,85.70,80.21,-0.00,78.80,4.35,-0.00,0.74,0.00
20.15,68.00,0.00,0.00,19.02,21.99,25.10,77.03,81.01,79.54,-0.00,167.55,0.00,0.00,3.48,-0.00
19.75,73.50,0.00,0.00,19.87,22.39,22.90,74.21,84.36,89.44,0.00,201.89,-0.00,-0.00,4.61,0.00
19.29,75.62,0.00,0.00,19.72,23.82,22.97,75.82,81.46,85.37,0.00,264.10,0.00,0.00,12.58,-0.00
18.85,77.25,0.00,0.00,19.92,24.16,22.47,75.24,81.97,84.80,0.00,194.32,-0.00,0.00,3.81,0.00
18.45,81.12,0.00,0.00,20.37,24.42,22.18,78.64,82.31,82.89,17.52,298.67,0.00,-0.00,9.39,0.00
18.61,78.62,0.00,0.00,20.43,25.07,21.74,85.10,83.78,81.66,79.37,349.12,-0.00,0.74,19.87,-0.00
19.18,76.00,0.00,0.00,21.78,25.85,18.79,82.25,80.96,96.64,165.12,318.01,-0.00,3.43,17.44,-0.00
19.59,76.00,0.00,0.00,22.59,26.31,19.97,83.18,79.75,87.23,204.89,309.32,-0.00,4.68,18.16,-0.00
19.89,74.75,0.00,0.00,23.77,25.87,17.02,81.73,83.47,105.21,263.24,228.28,-0.00,12.54,9.39,0.00
20.12,74.00,0.00,0.00,24.16,25.81,16.39,81.98,84.43,103.16,194.29,141.31,0.00,3.81,2.17,-0.00
20.32,79.00,17.44,0.00,24.50,24.98,16.43,81.84,86.53,96.44,300.39,48.57,25.67,9.45,0.11,52.74
20.52,84.50,79.94,0.75,25.09,25.37,19.22,83.64,80.61,79.12,349.71,4.33,106.72,19.91,0.00,327.81
21.60,83.50,162.69,3.38,25.72,24.93,18.32,81.73,80.58,90.15,315.10,0.00,148.77,17.28,-0.00,390.91
22.76,82.00,207.88,4.75,26.20,23.53,20.47,80.38,85.72,81.73,306.97,-0.00,200.09,18.02,0.00,508.77
23.73,82.00,262.38,12.50,25.67,23.25,23.29,84.73,83.68,64.59,225.01,0.00,270.78,9.25,-0.00,598.83
24.16,82.00,194.25,3.81,25.64,22.71,22.98,85.46,83.40,66.17,139.65,-0.00,290.04,2.15,0.00,521.24
24.57,81.38,302.12,9.50,25.32,22.26,25.02,84.51,82.44,62.26,49.81,0.00,333.59,0.12,-0.00,581.75
25.11,83.50,350.31,19.94,25.34,21.51,26.86,80.80,83.08,57.08,4.32,0.00,362.67,0.00,-0.00,604.54
25.61,82.50,312.19,17.12,24.84,19.38,25.39,81.10,92.88,61.57,0.00,-0.00,263.65,-0.00,0.00,550.58
26.11,81.00,304.62,17.88,23.85,19.42,27.52,83.86,90.99,53.28,-0.00,-0.00,265.30,0.00,0.00,605.90
25.49,86.00,221.75,9.12,23.40,17.61,27.00,82.84,101.10,57.99,0.00,-0.00,161.96,-0.00,0.00,667.31
25.50,86.50,138.00,2.12,22.83,16.98,26.09,82.70,99.14,61.77,-0.00,0.00,90.66,0.00,-0.00,631.31
25.61,82.50,51.06,0.12,22.30,16.91,24.62,82.22,93.35,68.91,0.00,26.61,51.70,-0.00,54.68,397.93
25.31,81.00,4.31,0.00,21.39,18.69,24.24,83.79,82.31,70.98,-0.00,103.01,8.78,0.00,316.44,31.72
24.76,81.62,0.00,0.00,19.68,19.00,23.25,91.00,86.13,75.90,0.00,156.82,0.00,0.00,412.08,0.00
24.12,82.00,0.00,0.00,19.14,20.82,22.52,92.87,79.81,77.10,-0.00,205.29,-0.00,-0.00,522.01,-0.00
23.52,82.00,0.00,0.00,17.91,22.96,20.31,99.05,66.23,88.38,-0.00,264.51,0.00,-0.00,584.97,0.00
22.93,82.00,0.00,0.00,17.28,23.49,21.53,97.13,63.96,76.45,-0.00,301.21,-0.00,0.00,541.31,-0.00
22.33,82.00,0.00,0.00,17.15,25.02,19.59,91.80,62.25,86.44,27.09,333.60,0.00,55.65,581.78,0.00
21.29,84.50,0.00,0.00,18.43,26.33,18.39,83.91,59.42,93.77,101.16,349.93,0.00,310.75,583.30,-0.00
19.93,89.12,0.00,0.00,19.35,25.92,18.31,84.13,59.41,93.62,160.85,274.42,-0.00,422.66,573.07,0.00
18.90,94.75,0.00,0.00,20.99,27.07,17.98,78.84,55.08,98.69,207.90,257.40,-0.00,528.63,587.85,0.00
18.16,97.00,0.00,0.00,22.79,26.78,17.63,67.06,58.93,99.01,261.38,159.48,-0.00,578.05,657.10,0.00
17.53,95.12,0.00,0.00,23.74,26.10,19.70,62.85,61.69,83.67,306.80,90.77,0.00,551.34,632.06,0.00
17.36,90.25,27.56,56.62,25.02,24.96,19.74,62.25,67.33,82.64,333.61,53.01,26.32,581.80,407.97,89.85
18.21,85.50,99.31,305.06,26.07,24.16,21.38,60.58,71.36,71.80,343.56,8.74,82.62,572.68,31.55,494.53
19.64,82.12,164.88,433.25,26.18,23.14,21.14,58.33,76.51,76.51,279.80,0.00,111.91,584.31,0.00,553.10
21.14,77.88,210.50,535.25,26.85,22.36,22.94,55.98,78.05,70.61,253.45,-0.00,175.10,578.83,-0.00,548.21
